car_model,price,year_model,kms
Chevrolet Spark 1.2 Gt M300,$28.500.000,2013,127.530
Chevrolet Spark Gt Ltz 2015 ,$31.900.000,2015,92.000
Chevrolet Spark GT 1.2 Lt,$37.500.000,2019,54.000
Chevrolet Spark Gt Active Mod 2020 ,$44.900.000,2020,43.205
Chevrolet Spark Gt Full Equipo,$32.900.000,2015,77.000
Chevrolet Spark 1.2 Gt M300 Lt,$32.500.000,2015,127.977
Chevrolet Spark 1.2 Gt Ltz,$31.900.000,2015,110.700
Chevrolet Spark 1.0 Life,$23.900.000,2015,105.000
Chevrolet Spark Gt Ltz,$34.500.000,2015,75.100
Chevrolet Spark 1.0 Lt M200,$27.990.000,2012,161.400
Chevrolet Spark Gt Ltz Mt 1.2 2016,$31.800.000,2016,102.500
Chevrolet Spark GT 1.2 Lt,$37.500.0003% OFF,2021,59.600
Chevrolet Spark Life 1000icc Mt Aa Ab,$28.800.000,2017,42.000
Chevrolet Spark Gt Mt 1.2cc 2016,$33.000.000,2016,87.000
Chevrolet Spark 1.0 Life,$27.900.000,2017,45.320
Chevrolet Spark Gt 1.2 Premier,$38.300.000,2019,52.000
Chevrolet Spark 2012 ,$21.500.000,2012,110.000
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$40.700.000,2017,91.073
Chevrolet Spark 1.0 Life,$26.000.000,2017,118.039
Chevrolet Spark 1.0 Life,$26.500.000,2016,97.700
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$37.000.000,2017,64.137
Chevrolet Spark Gt Spark Gt Aa,$29.500.000,2013,66.000
Chevrolet Spark Gt Gt,$26.900.000,2012,108.500
Chevrolet Spark 1.0 Life,$24.900.000,2016,78.900
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica,$31.600.000,2017,123.500
Chevrolet Spark 1.2 Gtx M300,$26.500.000,2012,121.000
Chevrolet Spark 1.0 Lt M200,$21.800.000,2013,111.000
Chevrolet Spark 1.0 7:24 Cronos,$19.500.000,2012,150.300
Chevrolet Spark Gt Mod 2017,$33.500.000,2017,78.000
Chevrolet Spark 1.0 Life,$26.000.000,2017,88.833
Chevrolet Spark 1.2 Gt M300 Lt,$31.800.000,2015,46.000
Chevrolet Spark 1.2 Gt M300 Ltz,$34.500.000,2016,83.036
Chevrolet Spark Life 2019,$32.800.000,2019,70.000
Chevrolet Spark 1.0 Go,$25.000.000,2011,14.300
Chevrolet Spark Gt Ltz,$35.000.000,2015,97.000
Chevrolet Spark 1.0 Life,$28.900.000,2017,99.980
Chevrolet Spark LIFE,$26.900.000,2017,88.000
Chevrolet Spark Gt  1200cc Mt Aa,$35.000.000,2017,86.000
Chevrolet Spark Life 2018,$31.800.000,2018,33.060
Chevrolet Spark Life  1000cc Mt Aa,$29.500.000,2019,53.500
Chevrolet Spark 1.2 Gt Lt Mt 2015,$28.900.000,2015,125.700
Chevrolet Spark 1.2 Gt M300 Lt,$30.500.000,2017,118.104
Chevrolet Spark LIFE,$25.400.000,2015,72.000
Chevrolet Spark Gt Active,$41.000.000,2019,52.000
Chevrolet Spark Gt 1.2 Ltz Mt 2015,$31.900.000,2015,112.000
Chevrolet Spark LIFE,$24.400.000,2015,80.000
Chevrolet Spark Gt Ltz,$38.000.000,2017,68.000
Chevrolet Spark GT 1.2 Ls,$35.000.000,2019,75.985
Chevrolet Spark GT 1.2 Active,$41.900.000,2020,67.000
Chevrolet Spark LIFE,$26.900.000,2017,85.000
